amb4
0.2,0,0.333333
0.2,0.2,1.76
0.2,0.4,8.81333
0.2,0.6,43.68
0.2,0.8,332.323
0.2,1,2819.48

0.125,0,0.333333
0.125,0.125,0.236857
0.125,0.25,0.211041
0.125,0.375,0.242031
0.125,0.5,0.325555
0.125,0.625,0.459039
0.125,0.75,0.634386
0.125,0.875,0.833903
0.125,1,1.03336

0.1,0,0.333333
0.1,0.1,0.122778
0.1,0.2,0.0792593
0.1,0.3,0.104753
0.1,0.4,0.132957
0.1,0.5,0.170123
0.1,0.6,0.290231
0.1,0.7,0.531685
0.1,0.8,0.784952
0.1,0.9,0.85995
0.1,1,0.761389

0.02,0,0.333333
0.02,0.02,0.223867
0.02,0.04,0.151413
0.02,0.06,0.104035
0.02,0.08,0.0741622
0.02,0.1,0.0557099
0.02,0.12,0.0451973
0.02,0.14,0.040355
0.02,0.16,0.039578
0.02,0.18,0.0417991
0.02,0.2,0.0463062
0.02,0.22,0.0526152
0.02,0.24,0.0603998
0.02,0.26,0.0694402
0.02,0.28,0.0795881
0.02,0.3,0.0907434
0.02,0.32,0.102839
0.02,0.34,0.115828
0.02,0.36,0.129681
0.02,0.38,0.144378
0.02,0.4,0.159903
0.02,0.42,0.176247
0.02,0.44,0.193405
0.02,0.46,0.211372
0.02,0.48,0.230145
0.02,0.5,0.249722
0.02,0.52,0.270101
0.02,0.54,0.291283
0.02,0.56,0.313265
0.02,0.58,0.336049
0.02,0.6,0.359633
0.02,0.62,0.384017
0.02,0.64,0.409202
0.02,0.66,0.435186
0.02,0.68,0.461971
0.02,0.7,0.489556
0.02,0.72,0.517942
0.02,0.74,0.547127
0.02,0.76,0.577112
0.02,0.78,0.607897
0.02,0.8,0.639482
0.02,0.82,0.671867
0.02,0.84,0.705052
0.02,0.86,0.739038
0.02,0.88,0.773823
0.02,0.9,0.809408
0.02,0.92,0.845793
0.02,0.94,0.882978
0.02,0.96,0.920964
0.02,0.98,0.959749
0.02,1,0.999334

