
0     1000
1     1150
2     1313.88
3     1490.34
4     1677.35
5     1872.14
6     2071.33
7     2271.07
8     2467.4
9     2656.47
10     2834.93
11     3000.07
12     3150.06
13     3283.93
14     3401.51
15     3503.3
16     3590.3
17     3663.85
18     3725.43
19     3776.57
20     3818.76
21     3853.37
22     3881.62
23     3904.59
24     3923.22
25     3938.28
26     3950.44
27     3960.23
28     3968.1
29     3974.43
30     3979.51
31     3983.59
32     3986.86
33     3989.48
34     3991.58
35     3993.26
36     3994.6
37     3995.68
38     3996.54
39     3997.23
40     3997.79
41     3998.23
42     3998.58
43     3998.87
44     3999.09
45     3999.27
46     3999.42
47     3999.54
48     3999.63
49     3999.7
50     3999.76
